msr,id,tp,twsp,ws,wy,dt,wd,qm.cfs,qc.cfs,qmx.cfs,qmn.cfs,q.cv,uqm.cfsm,uqc.cfsm,ptm.mm,ptmx.mm,ptmn.mm,pt.cv,lbn.,uq.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,utn.mg_l,tdn.mg_l,utkn.mg_l,tkn.mg_l,don.mg_l,ptn.mg_l,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mag.mg_l,sul.mg_l,chl.mg_l,doc.mg_l,tn.s.mg_mg,tc.s.mg_mg,tcn.,tn.mg_mgsed,tc.mg_mgsed,tn.mg_100mgsed,tc.mg_100mgsed,d13c.permil,d15n.permil,fch,ssn,log.uq,log.qmx,log.ptm,log.ptmx,log.sed.mg_l,log.slc.mg_l,log.alk.mg_l,log.don.mg_l,log.ptn.mg_l,log.nhn.mg_l,log.utn.mg_l,log.tdn.mg_l,log.doc.mg_l,oc.mg_l,n.mg_l,ws.f,logt,cdt,sdt
ms,10_1974_105B,P,100,10,1974,26947,10,0.021904762,0.46,0.087,0.013,207.7730561,0.666714286,0.52,NA,NA,NA,NA,105B,1.42,7.4,NA,24.21,4.92,NA,0.095347594,0.06,NA,0.06,0.04,NA,NA,NA,3.68,0.58,7.15,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/10/1973,Fall,0.350656872,-2.44184716,NA,NA,1.593308531,NA,3.186765771,-3.218875825,NA,NA,0.09107175,0.058268908,NA,NA,NA,Logged,pre-log,0.985220107,0.171293144
ms,10_1974_106B,F,101,10,1974,26968,31,0.05252381,1.103,1.548,0.009,259.971431,1.593761905,1.243,NA,NA,NA,NA,106B,1,7.8,NA,25.17,2.67,NA,0.09540107,0.05,NA,0.05,0.04,NA,NA,NA,3.55,0.6,6.56,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/31/1973,Fall,0,0.436963775,NA,NA,0.982078472,NA,3.225652809,-3.218875825,NA,NA,0.09112057,0.048790164,NA,NA,NA,Logged,pre-log,0.860961016,0.508670944
ms,10_1974_107B,F,102,10,1974,26989,52,0.380666667,7.994,1.347,0.037,64.3128938,11.54871429,9.019,NA,NA,NA,NA,107B,27.7,7.7,NA,15.12,4.06,NA,0.095454545,0.06,NA,0.05,0.04,NA,NA,0.005,1.78,0.46,3.41,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/21/1973,Fall,3.321432413,0.297879897,NA,NA,1.401182974,NA,2.716018371,-3.218875825,NA,NA,0.091169387,0.058268908,NA,NA,NA,Logged,pre-log,0.625410573,0.780295851
ms,10_1974_108B,P,103,10,1974,27004,67,0.499304348,11.484,1.633,0.174,40.85848748,15.14369565,12.953,NA,NA,NA,NA,108B,27.15,7.1,NA,19.17,3.5,NA,0.095508021,0.04,NA,0.03,0.04,NA,NA,0.007,2.04,0.5,3.57,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/6/1973,Fall,3.301377046,0.490418814,NA,NA,1.252762968,NA,2.953346557,-3.218875825,NA,NA,0.091218202,0.039220713,NA,NA,NA,Logged,pre-log,0.405425728,0.914127988
ms,10_1974_109B,F,104,10,1974,27016,79,0.5155,2.062,1.179,0.305,60.80141625,15.6305,2.325,NA,NA,NA,NA,109B,17.61,NA,NA,15.92,6.5,NA,0.095561497,0.04,NA,0.03,0.04,NA,NA,0.013,1.88,0.46,3.25,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/1973,Winter,2.868466923,0.164666622,NA,NA,1.871802177,NA,2.76757618,-3.218875825,NA,NA,0.091267015,0.039220713,NA,NA,NA,Logged,pre-log,0.209314646,0.977848342
ms,10_1974_110B,F,105,10,1974,27043,106,0.415222222,11.211,1.534,0.103,84.89239782,12.59740741,12.648,NA,NA,NA,NA,110B,33.61,7.4,NA,17.42,11.54,NA,0.095614973,0.08,NA,0.05,0.04,NA,NA,0.03,2.35,0.69,3.4,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/14/1974,Winter,3.514823642,0.427878703,NA,NA,2.445819261,NA,2.857618971,-3.218875825,NA,NA,0.091315825,0.076961041,NA,NA,NA,Logged,pre-log,-0.251190064,0.967937783
ms,10_1974_111B,F,106,10,1974,27071,134,0.427642857,11.974,1.728,0.117,79.23431262,12.96728571,13.503,NA,NA,NA,NA,111B,40.57,6.4,NA,18.5,54.09,NA,0.095668449,0.12,NA,0.02,0.04,NA,NA,0.097,1.8,0.4,3.2,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/11/1974,Winter,3.703028877,0.54696467,NA,NA,3.990649326,NA,2.917770732,-3.218875825,NA,NA,0.091364633,0.113328685,NA,NA,NA,Logged,pre-log,-0.671259958,0.741222011
ms,10_1974_112B,F,107,10,1974,27092,155,0.385714286,8.1,1.792,0.09,78.5531379,11.70138095,9.139,NA,NA,NA,NA,112B,23.77,7.9,NA,16.25,21.31,NA,0.095721925,0.06,NA,0.04,0.04,NA,NA,0.021,1.82,0.45,3.22,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/4/1974,Winter,3.168424281,0.583332315,NA,NA,3.059176446,NA,2.788092909,-3.218875825,NA,NA,0.091413438,0.058268908,NA,NA,NA,Logged,pre-log,-0.890027576,0.455906694
ms,10_1974_113B,F,108,10,1974,27115,178,0.360652174,8.295,1.829,0.086,103.8547353,10.93821739,9.356,NA,NA,NA,NA,113B,25.73,6.7,NA,17.25,6,NA,0.095775401,0.08,NA,0.06,0.04,NA,NA,0.017,1.88,0.38,3.45,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/27/1974,Spring,3.247657626,0.603769369,NA,NA,1.791759469,NA,2.847812143,-3.218875825,NA,NA,0.091462241,0.076961041,NA,NA,NA,Logged,pre-log,-0.99700117,0.077386479
ms,10_1974_114B,F,109,10,1974,27138,201,0.267652174,6.156,0.792,0.076,80.41622029,8.118217391,6.946,NA,NA,NA,NA,114B,20.44,7.4,NA,18.33,1.07,NA,0.095828877,0.07,NA,0.04,0.04,NA,NA,0.027,1.89,0.36,3.49,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/19/1974,Spring,3.017493765,-0.233193887,NA,NA,0.067658648,NA,2.908539062,-3.218875825,NA,NA,0.091511042,0.067658648,NA,NA,NA,Logged,pre-log,-0.949717843,-0.313107041
ms,10_1974_115B,F,110,10,1974,27158,221,0.047,0.94,0.082,0.031,30.83836702,1.42825,1.064,NA,NA,NA,NA,115B,2.47,7.4,NA,20.75,4.92,NA,0.095882353,0.06,NA,0.03,0.04,NA,NA,0.028,2.11,0.4,4,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/9/1974,Spring,0.904218151,-2.501036032,NA,NA,1.593308531,NA,3.032546247,-3.218875825,NA,NA,0.091559841,0.058268908,NA,NA,NA,Logged,pre-log,-0.788305056,-0.6152846
ms,10_1974_116B,A,111,10,1974,27177,240,0.039789474,0.756,0.101,0.023,49.44187981,1.203631579,0.852,NA,NA,NA,NA,116B,2.68,7.8,NA,21.79,0.57,NA,0.095935829,0.04,NA,0.03,0.04,NA,NA,0.01,2.42,0.5,4.43,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/28/1974,Spring,0.985816795,-2.292634762,NA,NA,-0.562118918,NA,3.081451149,-3.218875825,NA,NA,0.091608637,0.039220713,NA,NA,NA,Logged,pre-log,-0.548842958,-0.835925479
ms,10_1974_117B,A,112,10,1974,27197,260,0.03025,0.605,0.162,0.016,79.98213894,0.91505,0.679,NA,NA,NA,NA,117B,2.73,7.2,NA,25.25,1.11,NA,0.095989305,0.03,NA,0.03,0.04,NA,NA,NA,2.8,0.52,4.85,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/17/1974,Summer,1.004301609,-1.820158944,NA,NA,0.104360015,NA,3.228826156,-3.218875825,NA,NA,0.09165743,0.029558802,NA,NA,NA,Logged,pre-log,-0.23449139,-0.972118197
ms,10_1974_118B,G,113,10,1974,27221,284,0.021583333,0.518,0.03,0.016,14.71769972,0.655125,0.585,NA,NA,NA,NA,118B,1.23,7.4,NA,25.83,0.03,NA,0.096042781,0.01,NA,0.01,0.04,NA,NA,NA,3.05,0.51,5.52,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/11/1974,Summer,0.207014169,-3.506557897,NA,NA,-3.506557897,NA,3.251536607,-3.218875825,NA,NA,0.091706221,0.009950331,NA,NA,NA,Logged,pre-log,0.17553149,-0.984473817
ms,10_1974_119B,G,114,10,1974,27241,304,0.01625,0.325,0.021,0.011,18.34770898,0.4914,0.367,NA,NA,NA,NA,119B,0.59,7.4,NA,29.79,0.08,NA,0.096096257,0.02,NA,0.02,0.04,NA,NA,NA,3.6,0.58,6.53,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/31/1974,Summer,-0.527632742,-3.863232841,NA,NA,-2.525728644,NA,3.394172767,-3.218875825,NA,NA,0.09175501,0.019802627,NA,NA,NA,Logged,pre-log,0.497513289,-0.867456355
ms,10_1974_120B,G,115,10,1974,27260,323,0.010947368,0.208,0.018,0.009,11.28826136,0.333263158,0.235,NA,NA,NA,NA,120B,0.35,7.4,NA,27.29,13.93,NA,0.096149733,0.01,NA,0.01,0.04,NA,NA,0.003,3.6,0.55,6.55,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/19/1974,Summer,-1.049822124,-4.017383521,NA,NA,2.634044788,NA,3.306520335,-3.218875825,NA,NA,0.091803797,0.009950331,NA,NA,NA,Logged,pre-log,0.749826401,-0.661634618
ms,10_1974_121B,G,116,10,1974,27281,344,0.011428571,0.24,0.018,0.007,20.97617696,0.346333333,0.27,NA,NA,NA,NA,121B,0.25,NA,NA,30.58,7.33,NA,0.096203209,0.02,NA,0.02,0.04,NA,NA,0.004,4.1,0.68,6.82,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/9/1974,Summer,-1.386294361,-4.017383521,NA,NA,1.991975516,NA,3.420346201,-3.218875825,NA,NA,0.091852581,0.019802627,NA,NA,NA,Logged,pre-log,0.935367949,-0.353676122
ms,10_1975_123B,G,117,10,1975,27313,11,0.01115625,0.357,0.013,0.002,48.39101074,0.33903125,0.405,NA,NA,NA,NA,123B,0.21,7.3,NA,27.04,5,NA,0.096256684,0.02,NA,0.02,0.04,NA,NA,NA,4.03,0.65,7,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/11/1974,Fall,-1.560647748,-4.342805922,NA,NA,1.609437912,NA,3.297317251,-3.218875825,NA,NA,0.091901362,0.019802627,NA,NA,NA,Logged,pre-log,0.982125606,0.18822671
ms,10_1975_124B,P,118,10,1975,27327,25,0.002642857,0.037,0.006,0.002,NA,0.084928571,0.041,NA,NA,NA,NA,124B,0.04,7.4,NA,28.16,2.25,NA,0.09631016,0.01,NA,0.01,0.04,NA,NA,NA,4.02,0.35,4.88,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/25/1974,Fall,-3.218875825,-5.11599581,NA,NA,0.810930216,NA,3.337902531,-3.218875825,NA,NA,0.091950142,0.009950331,NA,NA,NA,Logged,pre-log,0.908817637,0.417193603
ms,10_1975_125B,P,119,10,1975,27346,44,0.019684211,0.374,0.154,0.002,144.1485202,0.593052632,0.418,NA,NA,NA,NA,125B,0.53,7.4,NA,27.12,0.34,NA,0.096363636,0.04,NA,0.04,0.04,NA,NA,NA,3.57,0.3,6.03,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/13/1974,Fall,-0.634878272,-1.870802677,NA,NA,-1.078809661,NA,3.300271463,-3.218875825,NA,NA,0.091998919,0.039220713,NA,NA,NA,Logged,pre-log,0.726607525,0.687052767
ms,10_1975_126B,F,120,10,1975,27365,63,0.083421053,1.585,0.945,0.012,134.5690183,2.528578947,1.786,NA,NA,NA,NA,126B,3.74,7,NA,22.42,2.85,NA,0.096417112,0.06,NA,0.05,0.04,NA,NA,0.005,2.69,0.27,4.66,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/2/1974,Fall,1.319085611,-0.056570351,NA,NA,1.047318994,NA,3.109953418,-3.218875825,NA,NA,0.092047693,0.058268908,NA,NA,NA,Logged,pre-log,0.467359217,0.88406751
ms,10_1975_127B,F,121,10,1975,27387,85,0.331181818,7.286,2.496,0.028,123.3634938,10.04813636,8.221,NA,NA,NA,NA,127B,22.57,8,46.8,17.33,26.34,NA,0.096470588,0.05,NA,0.05,0.04,NA,NA,0.002,2.14,0.24,3.14,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/24/1974,Winter,3.116621591,0.914689451,NA,NA,3.271088696,NA,2.852439104,-3.218875825,NA,NA,0.092096465,0.048790164,NA,NA,NA,Logged,pre-log,0.107381347,0.994217907
ms,10_1975_128B,F,122,10,1975,27409,107,0.474545455,10.44,2.421,0.11,81.03667316,14.3945,11.776,NA,NA,NA,NA,128B,33.73,7.8,61.4,14.58,7.65,NA,0.096524064,0.03,NA,0.03,0.04,NA,NA,NA,1.88,0.23,2.65,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/15/1975,Winter,3.518387649,0.884180678,NA,NA,2.034705648,NA,2.679650727,-3.218875825,NA,NA,0.092145235,0.029558802,NA,NA,NA,Logged,pre-log,-0.267814305,0.963470549
ms,10_1975_129B,F,123,10,1975,27428,126,0.272105263,5.17,1.179,0.11,100.9948802,8.251473684,5.832,NA,NA,NA,NA,129B,14.9,8,43.3,16.5,2.17,NA,0.09657754,0.04,NA,0.04,0.04,NA,NA,0.002,2.02,0.24,2.94,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/1975,Winter,2.701361213,0.164666622,NA,NA,0.774727168,NA,2.803360381,-3.218875825,NA,NA,0.092194002,0.039220713,NA,NA,NA,Logged,pre-log,-0.563150724,0.826354199
ms,10_1975_130B,F,124,10,1975,27451,149,0.325173913,7.479,1.57,0.108,89.65716088,9.864521739,8.44,NA,NA,NA,NA,130B,23.7,7.6,69.3,14.71,2.01,NA,0.096631016,0,NA,0,0.04,NA,NA,NA,1.94,0.23,2.76,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/26/1975,Winter,3.165475048,0.451075619,NA,NA,0.698134722,NA,2.688527535,-3.218875825,NA,NA,0.092242767,0,NA,NA,NA,Logged,pre-log,-0.838279705,0.545240439
ms,10_1975_131B,F,125,10,1975,27471,169,0.27655,5.531,2.017,0.088,120.9204447,8.3877,6.239,NA,NA,NA,NA,131B,14.5,7.6,40.2,17.08,1.56,NA,0.096684492,0.05,NA,0.03,0.04,NA,NA,0.015,1.47,0.13,1.92,0.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/18/1975,Spring,2.674148649,0.701611259,NA,NA,0.444685821,NA,2.837908188,-3.218875825,NA,NA,0.09229153,0.048790164,NA,NA,NA,Logged,pre-log,-0.973118337,0.23030567
ms,10_1975_132B,F,126,10,1975,27487,185,0.4529375,7.247,1.601,0.135,92.82507348,13.7345,8.175,NA,NA,NA,NA,132B,22.35,7.8,73,15.33,7.49,NA,0.096737968,0.02,NA,0,0.04,NA,NA,0.016,1.74,0.17,2.36,0.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/3/1975,Spring,3.106826321,0.470628434,NA,NA,2.013568798,NA,2.729811693,-3.218875825,NA,NA,0.09234029,0.019802627,NA,NA,NA,Logged,post-log,-0.999074115,-0.043022233
ms,10_1975_133B,F,127,10,1975,27512,210,0.08548,2.137,0.249,0.04,52.56077027,2.59012,2.406,NA,NA,NA,NA,133B,4.75,7.6,39.1,19.5,0.32,NA,0.096791444,0.01,NA,0,0.04,NA,NA,0.01,2.44,0.21,3.83,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/28/1975,Spring,1.558144618,-1.390302383,NA,NA,-1.139434283,NA,2.970414466,-3.218875825,NA,NA,0.092389048,0.009950331,NA,NA,NA,Logged,post-log,-0.890027576,-0.455906694
ms,10_1975_134B,F,128,10,1975,27534,232,0.056318182,1.239,0.167,0.016,41.58540168,1.707727273,1.397,NA,NA,NA,NA,134B,4.16,7.7,32.8,19.37,0.69,NA,0.09684492,0.02,NA,0.01,0.04,NA,NA,0.007,2.66,0.23,4.24,1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/20/1975,Spring,1.425515074,-1.789761467,NA,NA,-0.371063681,NA,2.963725477,-3.218875825,NA,NA,0.092437804,0.019802627,NA,NA,NA,Logged,post-log,-0.658401585,-0.752666828
ms,10_1975_135B,F,129,10,1975,27554,252,0.0183,0.366,0.028,0.01,20.98746256,0.55395,0.412,NA,NA,NA,NA,135B,1.4,7.3,29.2,21.87,3.3,NA,0.096898396,0.07,NA,0.07,0.04,NA,NA,0.004,2.81,0.31,4.53,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/9/1975,Spring,0.336472237,-3.575550769,NA,NA,1.193922468,NA,3.085115835,-3.218875825,NA,NA,0.092486557,0.067658648,NA,NA,NA,Logged,post-log,-0.365722524,-0.930723931
ms,10_1975_136B,G,130,10,1975,27577,275,0.024173913,0.556,0.028,0.02,7.32695613,0.732086957,0.625,NA,NA,NA,NA,136B,1.13,NA,NA,24.67,17.8,NA,0.096951872,0.05,NA,0.05,0.04,NA,NA,NA,3.61,0.42,5.66,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/2/1975,Summer,0.122217633,-3.575550769,NA,NA,2.879198457,NA,3.205587931,-3.218875825,NA,NA,0.092535308,0.048790164,NA,NA,NA,Logged,post-log,0.021516097,-0.999768502
ms,10_1975_137B,G,131,10,1975,27594,292,0.019705882,0.335,0.033,0.015,8.587137731,0.596235294,0.376,NA,NA,NA,NA,137B,0.68,NA,NA,29.16,16.76,NA,0.097005348,0.02,NA,0.02,0.04,NA,NA,NA,3.87,0.32,5.96,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/19/1975,Summer,-0.385662481,-3.411247718,NA,NA,2.818995095,NA,3.372797907,-3.218875825,NA,NA,0.092584056,0.019802627,NA,NA,NA,Logged,post-log,0.309016994,-0.951056516
ms,10_1975_138B,G,132,10,1975,27617,315,0.014652174,0.337,0.019,0.01,11.02472076,0.445217391,0.381,NA,NA,NA,NA,138B,0.67,NA,NA,29.79,23.16,NA,0.097058824,0.04,NA,0.04,0.04,NA,NA,NA,4,0.4,5.99,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/11/1975,Summer,-0.400477567,-3.9633163,NA,NA,3.142426653,NA,3.394172767,-3.218875825,NA,NA,0.092632802,0.039220713,NA,NA,NA,Logged,post-log,0.651898996,-0.758305809
ms,10_1975_139B,G,133,10,1975,27641,339,0.0155,0.372,0.03,0.01,40.04149674,0.46975,0.42,NA,NA,NA,NA,139B,0.98,NA,NA,29.16,23.73,NA,0.097112299,0.05,NA,0.05,0.04,NA,NA,NA,3.97,0.6,5.97,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/4/1975,Summer,-0.020202707,-3.506557897,NA,NA,3.16674007,NA,3.372797907,-3.218875825,NA,NA,0.092681546,0.048790164,NA,NA,NA,Logged,post-log,0.901501684,-0.432775593
ms,10_1975_140B,G,134,10,1975,27666,364,0.0098,0.245,0.014,0.007,18.51182303,0.29864,0.276,NA,NA,NA,NA,140B,0.56,7.6,NA,30,13.86,NA,0.097165775,0.04,NA,0.04,0.04,NA,NA,0.001,3.6,0.45,5.29,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/29/1975,Fall,-0.579818495,-4.268697949,NA,NA,2.629006994,NA,3.401197382,-3.218875825,NA,NA,0.092730287,0.039220713,NA,NA,NA,Logged,post-log,0.999851839,-0.017213356
ms,10_1976_142B,F,135,10,1976,27682,15,0.019375,0.31,0.057,0.006,73.49578538,0.5858125,0.35,NA,NA,NA,NA,142B,0.92,7.5,NA,24.33,18.52,NA,0.097219251,0.08,NA,0.08,0.04,NA,NA,NA,3.34,0.56,5.69,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/15/1975,Fall,-0.083381609,-2.864704011,NA,NA,2.918851229,NA,3.191710157,-3.218875825,NA,NA,0.092779026,0.076961041,NA,NA,NA,Logged,post-log,0.966847814,0.255353295
ms,10_1976_143B,F,136,10,1976,27695,28,0.1206923,1.569,1.548,0.017,126.0695,3.659231,1.769,NA,NA,NA,NA,143B,10.2,7.2,40.8,14.83,728.96,NA,0.09727273,0.12,NA,0.11,0.04,NA,NA,0.009,2.53,0.47,4.02,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/28/1975,Fall,2.322388,0.4369638,NA,NA,6.591619,NA,2.696652,-3.218876,NA,NA,0.09282776,0.1133287,NA,NA,NA,Logged,post-log,0.8860706,0.4635503
ms,10_1976_144B,F,137,10,1976,27705,38,0.0891,0.891,0.519,0.034,66.41323,2.7023,1.007,NA,NA,NA,NA,144B,5.31,7.1,26.2,14.83,0.64,NA,0.0973262,0.08,NA,0.08,0.04,NA,NA,0.003,2.29,0.44,3.51,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/7/1975,Fall,1.669592,-0.6558514,NA,NA,-0.4462871,NA,2.696652,-3.218876,NA,NA,0.0928765,0.07696104,NA,NA,NA,Logged,post-log,0.7935716,0.6084769
ms,10_1976_145B,F,138,10,1976,27723,56,0.1792222,3.226,1.224,0.057,75.29093,5.437444,3.642,NA,NA,NA,NA,145B,14.4,7.2,32.1,15,5.43,NA,0.09737968,0.05,NA,0.04,0.04,NA,NA,0.014,2.06,0.3,4.64,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/25/1975,Fall,2.667228,0.2021242,NA,NA,1.691939,NA,2.70805,-3.218876,NA,NA,0.09292523,0.04879016,NA,NA,NA,Logged,post-log,0.5702423,0.8214766
ms,10_1976_146B,F,139,10,1976,27731,64,0.530875,4.247,2.761,0.062,95.80516,16.10288,4.79,NA,NA,NA,NA,146B,17.57,NA,NA,13.37,204.66,NA,0.09743316,0.06,NA,0.05,0.04,NA,NA,0.013,1.86,0.3,3.23,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/3/1975,Fall,2.866193,1.015593,NA,NA,5.32135,NA,2.593013,-3.218876,NA,NA,0.09297396,0.05826891,NA,NA,NA,Logged,post-log,0.4520722,0.8919813
ms,10_1976_147B,F,140,10,1976,27746,79,0.3564667,5.347,1.53,0.138,83.14827,10.81207,6.031,NA,NA,NA,NA,147B,16.58,7.2,30.4,15.25,7.93,NA,0.09748663,0.07,NA,0.05,0.04,NA,NA,0.023,1.92,0.26,3.48,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/18/1975,Winter,2.808197,0.4252677,NA,NA,2.070653,NA,2.72458,-3.218876,NA,NA,0.09302268,0.06765865,NA,NA,NA,Logged,post-log,0.2093146,0.9778483
ms,10_1976_148B,F,141,10,1976,27767,100,0.6022381,12.647,3.582,0.138,98.54731,18.27057,14.269,NA,NA,NA,NA,148B,32.8,7.2,31.2,13.67,56.32,NA,0.09754011,0.06,NA,0.04,0.04,NA,NA,0.023,1.76,0.23,3.15,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/8/1976,Winter,3.490429,1.275921,NA,NA,4.03105,NA,2.615204,-3.218876,NA,NA,0.09307141,0.05826891,NA,NA,NA,Logged,post-log,-0.1500554,0.9886776
ms,10_1976_149B,F,142,10,1976,27768,101,1.248,1.248,1.728,0.91,NA,37.868,1.408,NA,NA,NA,NA,149B,5.29,7.2,24.7,12.92,192.22,NA,0.09759358,0.06,NA,0.05,0.04,NA,NA,0.005,1.61,0.26,2.79,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/9/1976,Winter,1.665818,0.5469647,NA,NA,5.258641,NA,2.558776,-3.218876,NA,NA,0.09312013,0.05826891,NA,NA,NA,Logged,post-log,-0.1670516,0.9859481
ms,10_1976_150B,F,143,10,1976,27788,121,0.40315,8.063,1.597,0.101,90.52655,12.22735,9.097,NA,NA,NA,NA,150B,23.12,7.2,32.8,15.71,3.25,NA,0.09764706,0.06,NA,0.03,0.04,NA,NA,0.026,1.89,0.27,3.4,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/29/1976,Winter,3.140698,0.4681269,NA,NA,1.178655,NA,2.754297,-3.218876,NA,NA,0.09316885,0.05826891,NA,NA,NA,Logged,post-log,-0.4900287,0.8717063
ms,10_1976_151B,F,144,10,1976,27810,143,0.1823636,4.012,1.815,0.055,164.5179,5.531818,4.526,NA,NA,NA,NA,151B,14.53,7.2,34.8,15.21,3.92,NA,0.09770053,0.05,NA,0.03,0.04,NA,NA,0.022,2.14,0.33,3.68,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/20/1976,Winter,2.676215,0.5960855,NA,NA,1.366092,NA,2.721953,-3.218876,NA,NA,0.09321757,0.04879016,NA,NA,NA,Logged,post-log,-0.7775971,0.6287628
ms,10_1976_152B,F,145,10,1976,27830,163,0.2603,5.206,1.052,0.105,103.2491,7.8965,5.874,NA,NA,NA,NA,152B,15.75,7.3,33,16.46,0.7,NA,0.09775401,0.04,NA,0.02,0.04,NA,NA,0.023,2.1,0.31,3.65,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/11/1976,Winter,2.75684,0.05069311,NA,NA,-0.3566749,NA,2.800933,-3.218876,NA,NA,0.09326628,0.03922071,NA,NA,NA,Logged,post-log,-0.9441875,0.3294085
ms,10_1976_153B,F,146,10,1976,27851,184,0.2182381,4.583,0.91,0.073,71.03024,6.619952,5.171,NA,NA,NA,NA,153B,15.33,7.2,35.9,15.42,1.59,NA,0.09780749,0.06,NA,0.03,0.04,NA,NA,0.034,2.12,0.34,3.71,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/1/1976,Spring,2.729812,-0.09431068,NA,NA,0.463734,NA,2.735665,-3.218876,NA,NA,0.093315,0.05826891,NA,NA,NA,Logged,post-log,-0.9996666,-0.02581844
ms,10_1976_154B,F,147,10,1976,27871,204,0.11525,2.305,0.317,0.048,61.08653,3.4964,2.603,NA,NA,NA,NA,154B,6.6,7.2,33.3,17.42,0.64,NA,0.09786096,0.07,NA,0.05,0.04,NA,NA,0.022,2.36,0.2,4.11,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/21/1976,Spring,1.88707,-1.148854,NA,NA,-0.4462871,NA,2.857619,-3.218876,NA,NA,0.09336371,0.06765865,NA,NA,NA,Logged,post-log,-0.9322892,-0.3617137
